rank,name,country,born,order,consistory,office,ref.,eligible,pope_no.,pope_name,all_cardinals_cb,all_cardinals_cp,all_cardinals_cd,all_cardinals_total,cardinal_electors_cb,cardinal_electors_cp,cardinal_electors_cd,cardinal_electors_total,particular church_sui iuris,particular church_sui iuris.1,all_cardinals,cardinal_electors,post-nominal,institute_or_society,continent_continent,all_cardinals_number,all_cardinals_percentage,cardinal_electors_number,cardinal_electors_percentage,percentage_of_global_catholic_population_(2023)_percentage_of_global_catholic_population_(2023),continent
,,Sri Lanka,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Asia
,,Sudan,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Africa
,,Sweden,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Europe
,,Switzerland,,,,,,True,,,,,,,,,,,,,2.0,2.0,,,,,,,,,Europe
,,Tanzania,,,,,,True,,,,,,,,,,,,,2.0,1.0,,,,,,,,,Africa
,,Thailand,,,,,,True,,,,,,,,,,,,,2.0,1.0,,,,,,,,,Asia
,,Tonga,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Oceania
,,Uganda,,,,,,True,,,,,,,,,,,,,1.0,0.0,,,,,,,,,Africa
,,United Kingdom,,,,,,True,,,,,,,,,,,,,4.0,3.0,,,,,,,,,Europe
,,United States,,,,,,True,,,,,,,,,,,,,17.0,10.0,,,,,,,,,North America
,,Uruguay,,,,,,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,South America
,,Venezuela,,,,,,True,,,,,,,,,,,,,2.0,0.0,,,,,,,,,South America
,,Vietnam,,,,,,True,,,,,,,,,,,,,2.0,0.0,,,,,,,,,Asia
,,Total,,,,,,True,,,,,,,,,,,,,252.0,135.0,,,,,,,,,Total
